Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,Khem Birch\birchkh01,C,27,ORL,34,22,21.3,1.5,3.1,.486,0.0,0.0,.000,1.5,3.1,.491,.486,1.1,1.9,.600,2.0,2.9,4.9,1.0,0.5,0.6,0.6,1.9,4.2
43,Goga Bitadze\bitadgo01,C,20,IND,38,2,9.2,1.3,2.7,.480,0.1,0.6,.167,1.2,2.1,.577,.500,0.5,0.8,.690,0.6,1.7,2.3,0.5,0.1,0.7,0.6,1.2,3.2
44,Bismack Biyombo\biyombi01,C,27,CHO,43,25,19.1,2.9,5.4,.537,0.0,0.0,,2.9,5.4,.537,.537,1.7,2.7,.619,2.3,3.5,5.9,0.8,0.2,0.8,0.9,2.2,7.5
45,Nemanja Bjelica\bjeline01,PF,31,SAC,47,44,28.2,4.7,9.6,.486,2.0,4.5,.434,2.7,5.1,.531,.587,1.0,1.1,.870,1.6,4.8,6.4,2.7,0.9,0.6,1.5,3.0,12.3
46,Eric Bledsoe\bledser01,PG,30,MIL,39,39,26.3,5.6,11.7,.482,1.3,3.6,.353,4.4,8.1,.539,.536,2.9,3.5,.844,0.7,3.8,4.5,5.2,0.9,0.5,2.2,2.2,15.5
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,36,3,28.1,5.4,12.6,.428,2.6,7.1,.366,2.8,5.5,.508,.531,1.2,1.8,.662,0.4,2.7,3.1,3.3,1.0,0.3,1.9,2.1,14.6
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,46,46,33.3,7.0,15.4,.453,3.2,7.5,.422,3.8,7.9,.482,.555,4.1,4.5,.909,0.6,3.5,4.1,2.0,0.6,0.1,2.7,1.8,21.2
49,Jonah Bolden\boldejo01,PF,24,PHI,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0
50,Jordan Bone\bonejo01,PG,22,DET,6,0,3.2,0.3,1.5,.222,0.0,0.5,.000,0.3,1.0,.333,.222,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.7
51,Isaac Bonga\bongais01,SF,20,WAS,41,27,17.2,1.7,3.0,.552,0.3,0.8,.394,1.4,2.2,.609,.604,0.8,1.1,.756,1.0,2.2,3.2,1.0,0.7,0.3,0.7,2.2,4.5
52,Devin Booker\bookede01,SG,23,PHO,44,44,36.0,9.3,18.2,.510,2.0,5.3,.368,7.3,12.9,.569,.564,6.5,7.1,.917,0.5,3.5,4.1,6.4,0.8,0.3,3.9,3.1,27.1
53,Chris Boucher\bouchch01,PF,27,TOR,39,0,12.7,2.1,4.6,.456,0.5,1.7,.303,1.6,2.9,.544,.511,1.4,1.8,.736,1.9,2.5,4.4,0.5,0.4,0.9,0.4,1.7,6.1
54,Brian Bowen\bowenbr02,SG,21,IND,3,0,3.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.7
55,Ky Bowman\bowmaky01,PG,22,GSW,37,10,22.4,2.9,7.1,.409,0.8,2.4,.344,2.1,4.7,.443,.468,0.6,0.8,.828,0.5,2.1,2.5,2.8,1.0,0.1,1.3,2.2,7.3
56,Avery Bradley\bradlav01,SG,29,LAL,32,27,23.0,3.2,7.3,.444,0.7,2.6,.268,2.5,4.7,.540,.491,0.3,0.4,.750,0.4,1.7,2.2,1.1,0.9,0.1,1.1,2.3,7.4
57,Tony Bradley\bradlto01,C,22,UTA,36,2,10.3,1.9,3.0,.642,0.0,0.0,,1.9,3.0,.642,.642,0.5,0.9,.613,1.6,2.6,4.2,0.3,0.3,0.4,0.5,2.1,4.4
58,Jarrell Brantley\brantja01,PF,23,UTA,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,1.0,0.5,0.5,0.0
59,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
60,Mikal Bridges\bridgmi01,SF,23,PHO,47,6,24.3,2.8,5.4,.516,0.6,1.9,.322,2.2,3.5,.620,.572,1.3,1.7,.808,0.8,3.0,3.8,1.5,1.4,0.5,0.9,2.1,7.6
61,Miles Bridges\bridgmi02,SF,21,CHO,47,46,30.0,4.6,10.6,.438,1.4,4.1,.344,3.2,6.4,.498,.505,1.3,1.6,.803,1.2,4.1,5.3,1.7,0.6,0.7,1.6,2.1,12.0
62,Oshae Brissett\brissos01,SF,21,TOR,14,0,8.2,0.8,2.1,.367,0.2,0.9,.250,0.6,1.3,.444,.417,0.4,0.4,.833,0.6,0.9,1.5,0.3,0.2,0.1,0.4,1.1,2.1
63,Ryan Broekhoff\broekry01,SG,29,DAL,11,0,7.7,1.2,2.5,.464,1.0,2.0,.500,0.2,0.5,.333,.661,0.5,0.5,.833,0.1,1.3,1.4,0.4,0.2,0.1,0.3,0.6,3.8
64,Malcolm Brogdon\brogdma01,PG,27,IND,34,34,30.3,6.1,13.9,.444,1.4,4.1,.341,4.8,9.8,.486,.494,3.3,3.6,.911,0.7,3.7,4.4,7.4,0.8,0.2,2.5,1.8,17.0
65,Dillon Brooks\brookdi01,SG,24,MEM,48,48,28.3,5.9,13.7,.427,2.2,5.4,.404,3.7,8.3,.442,.507,2.4,2.8,.838,1.0,2.4,3.4,2.0,1.0,0.4,1.7,3.8,16.3
66,Bruce Brown\brownbr01,SG,23,DET,46,36,27.1,3.3,7.4,.453,0.6,1.7,.342,2.8,5.7,.485,.491,1.5,2.1,.691,0.9,3.3,4.2,3.9,1.2,0.5,1.7,2.7,8.7
67,Charlie Brown\brownch02,SG,22,ATL,8,0,4.6,0.6,2.1,.294,0.4,1.0,.375,0.3,1.1,.222,.382,0.6,0.6,1.000,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,2.3
